x,y
241,-55
241,-53
241,-57
241,-49
241,-56
241,-64
242,-56
242,-37
242,-51
242,-49
242,-34
242,-40
242,-52
242,-39
242,-55
242,-38
242,-41
242,-45
242,-59
242,-36
242,-46
242,-43
242,-50
242,-47
242,-53
242,-42
242,-58
242,-44
242,-54
242,-57
242,-35
242,-48
243,-43
243,-22
243,-23
243,-41
243,-32
243,-30
243,-44
243,-38
243,-49
243,-37
243,-36
243,-39
243,-50
243,-35
243,-48
243,-34
243,-33
243,-47
243,-27
243,-31
243,-46
243,-42
243,-45
243,-29
243,-51
243,-28
243,-40
244,-17
244,-20
244,-43
244,-45
244,-16
244,-42
244,-44
244,-19
244,-21
244,-38
244,-28
244,-29
244,-31
244,-25
244,-32
244,-33
244,-40
244,-34
244,-30
244,-23
244,-24
244,-35
244,-41
244,-27
244,-36
244,-22
244,-37
244,-26
244,-39
245,-21
245,-13
245,-28
245,-27
245,-31
245,-39
245,-30
245,-14
245,-32
245,-33
245,-34
245,-35
245,-36
245,-37
245,-29
245,-15
245,-20
245,-24
245,-26
245,-17
245,-22
245,-38
245,-23
245,-19
245,-18
245,-25
245,-16
246,-29
246,-17
246,-8
246,-7
246,-26
246,-6
246,-15
246,-9
246,-31
246,-23
246,-19
246,-3
246,-22
246,-20
246,-30
246,-18
246,-21
246,-12
246,-11
246,-27
246,-25
246,-13
246,-16
246,-14
246,-28
246,-10
246,-24
247,-5
247,-15
247,-22
247,-23
247,-3
247,-13
247,-2
247,-21
247,-14
247,-20
247,-12
247,-4
247,-19
247,-9
247,-18
247,-16
247,-11
247,-1
247,-17
247,-6
247,-8
247,-10
247,0
247,-7
248,-1
248,-9
248,-8
248,-4
248,-7
248,-13
248,-3
248,-10
248,0
248,-2
248,-12
248,-11
248,-5
248,-6
249,-5
249,-2
249,0
249,-4
249,-1
249,-3
